,name,rating,reviews,benefits
603,Ola Electric Mobility,3.3,1.1k,81
604,Altruist Technologies,3.2,1.1k,82
605,Iris Software,4.2,1.1k,283
606,Veritas Finance,4.7,1.1k,42
607,Polycab Wires,4.1,1.1k,94
608,HTC Global Services,3.6,1.1k,111
609,Marico,4.1,1.1k,167
610,L.G.Balakrishnan & Bros,3.7,1.1k,131
611,NIIT,3.6,1.1k,166
612,Suguna Foods,4.1,1.1k,141
613,iOPEX Technologies,3.8,1.1k,570
614,Muthoot Group,3.7,1.1k,224
615,Hero Motors Company,4.1,1.1k,128
616,Infinite Computer Solutions,3.5,1.1k,106
617,Jet Airways,4.6,1.1k,181
618,Sony,4.4,1.1k,189
619,Bajaj Capital,3.9,1.1k,110
620,Krishna Maruti,4.0,1.1k,133
621,Welspun,4.1,1.1k,154
622,Manipal Hospitals,4.2,1.1k,136
623,Oracle Financial Services Software,3.7,1.1k,196
624,Pantaloons,4.2,1.1k,132
625,Satin Creditcare Network,4.2,1.1k,132
626,Inox Leisure,4.1,1.1k,153
627,ISS Facility Services,4.2,1.1k,135
628,SRL Diagnostics,4.2,1.1k,134
629,Nayara Energy,4.3,1.1k,175
630,ZF Commercial Vehicle Control Systems,4.0,1.1k,21
631,TTEC India,3.8,1.1k,159
632,Akzo Nobel India,4.1,1.1k,140
633,Fabindia,3.9,1.1k,124
634,J. Kumar Infraprojects,4.2,1.1k,120
635,Biocon Limited,3.9,1.1k,13
636,Barclays Shared Services,4.1,1.1k,192
637,Collabera Technologies,3.5,1.1k,108
638,Cushman & Wakefield,4.3,1.1k,138
639,ICICI Home Finance,3.8,1.1k,89
640,Adani Group,3.9,1.1k,110
641,Gland Pharma,3.7,1.1k,134
642,Daimler India Commercial Vehicles,4.2,1.1k,185
643,VLCC,3.7,1.1k,101
644,Redcliffe Labs,4.5,1.1k,60
645,Panasonic,4.1,1.1k,149
646,Supreme Industries,4.2,1.1k,120
